State,County,Date,Cases,Deaths
45,Abbeville,1/26/20,0,0
45,Aiken,1/26/20,0,0
45,Allendale,1/26/20,0,0
45,Anderson,1/26/20,0,0
45,Bamberg,1/26/20,0,0
45,Barnwell,1/26/20,0,0
45,Beaufort,1/26/20,0,0
45,Berkeley,1/26/20,0,0
45,Calhoun,1/26/20,0,0
45,Charleston,1/26/20,0,0
45,Cherokee,1/26/20,0,0
45,Chester,1/26/20,0,0
45,Chesterfield,1/26/20,0,0
45,Clarendon,1/26/20,0,0
45,Colleton,1/26/20,0,0
45,Darlington,1/26/20,0,0
45,Dillon,1/26/20,0,0
45,Dorchester,1/26/20,0,0
45,Edgefield,1/26/20,0,0
45,Fairfield,1/26/20,0,0
45,Florence,1/26/20,0,0
45,Georgetown,1/26/20,0,0
45,Greenville,1/26/20,0,0
45,Greenwood,1/26/20,0,0
45,Hampton,1/26/20,0,0
45,Horry,1/26/20,0,0
45,Jasper,1/26/20,0,0
45,Kershaw,1/26/20,0,0
45,Lancaster,1/26/20,0,0
45,Laurens,1/26/20,0,0
45,Lee,1/26/20,0,0
45,Lexington,1/26/20,0,0
45,McCormick,1/26/20,0,0
45,Marion,1/26/20,0,0
45,Marlboro,1/26/20,0,0
45,Newberry,1/26/20,0,0
45,Oconee,1/26/20,0,0
45,Orangeburg,1/26/20,0,0
45,Pickens,1/26/20,0,0
45,Richland,1/26/20,0,0
45,Saluda,1/26/20,0,0
45,Spartanburg,1/26/20,0,0
45,Sumter,1/26/20,0,0
45,Union,1/26/20,0,0
45,Williamsburg,1/26/20,0,0
45,York,1/26/20,0,0
45,Abbeville,1/27/20,0,0
45,Aiken,1/27/20,0,0
45,Allendale,1/27/20,0,0
45,Anderson,1/27/20,0,0
45,Bamberg,1/27/20,0,0
45,Barnwell,1/27/20,0,0
45,Beaufort,1/27/20,0,0
45,Berkeley,1/27/20,0,0
45,Calhoun,1/27/20,0,0
45,Charleston,1/27/20,0,0
45,Cherokee,1/27/20,0,0
45,Chester,1/27/20,0,0
45,Chesterfield,1/27/20,0,0
45,Clarendon,1/27/20,0,0
45,Colleton,1/27/20,0,0
45,Darlington,1/27/20,0,0
45,Dillon,1/27/20,0,0
45,Dorchester,1/27/20,0,0
45,Edgefield,1/27/20,0,0
45,Fairfield,1/27/20,0,0
45,Florence,1/27/20,0,0
45,Georgetown,1/27/20,0,0
45,Greenville,1/27/20,0,0
45,Greenwood,1/27/20,0,0
45,Hampton,1/27/20,0,0
45,Horry,1/27/20,0,0
45,Jasper,1/27/20,0,0
45,Kershaw,1/27/20,0,0
45,Lancaster,1/27/20,0,0
45,Laurens,1/27/20,0,0
45,Lee,1/27/20,0,0
45,Lexington,1/27/20,0,0
45,McCormick,1/27/20,0,0
45,Marion,1/27/20,0,0
45,Marlboro,1/27/20,0,0
45,Newberry,1/27/20,0,0
45,Oconee,1/27/20,0,0
45,Orangeburg,1/27/20,0,0
45,Pickens,1/27/20,0,0
45,Richland,1/27/20,0,0
45,Saluda,1/27/20,0,0
45,Spartanburg,1/27/20,0,0
45,Sumter,1/27/20,0,0
45,Union,1/27/20,0,0
45,Williamsburg,1/27/20,0,0
45,York,1/27/20,0,0
45,Abbeville,1/28/20,0,0
45,Aiken,1/28/20,0,0
45,Allendale,1/28/20,0,0
45,Anderson,1/28/20,0,0
45,Bamberg,1/28/20,0,0
45,Barnwell,1/28/20,0,0
45,Beaufort,1/28/20,0,0
45,Berkeley,1/28/20,0,0
45,Calhoun,1/28/20,0,0
45,Charleston,1/28/20,0,0
45,Cherokee,1/28/20,0,0
45,Chester,1/28/20,0,0
45,Chesterfield,1/28/20,0,0
45,Clarendon,1/28/20,0,0
45,Colleton,1/28/20,0,0
45,Darlington,1/28/20,0,0
45,Dillon,1/28/20,0,0
45,Dorchester,1/28/20,0,0
45,Edgefield,1/28/20,0,0
45,Fairfield,1/28/20,0,0
45,Florence,1/28/20,0,0
45,Georgetown,1/28/20,0,0
45,Greenville,1/28/20,0,0
45,Greenwood,1/28/20,0,0
45,Hampton,1/28/20,0,0
45,Horry,1/28/20,0,0
45,Jasper,1/28/20,0,0
45,Kershaw,1/28/20,0,0
45,Lancaster,1/28/20,0,0
45,Laurens,1/28/20,0,0
45,Lee,1/28/20,0,0
45,Lexington,1/28/20,0,0
45,McCormick,1/28/20,0,0
45,Marion,1/28/20,0,0
45,Marlboro,1/28/20,0,0
45,Newberry,1/28/20,0,0
45,Oconee,1/28/20,0,0
45,Orangeburg,1/28/20,0,0
45,Pickens,1/28/20,0,0
45,Richland,1/28/20,0,0
45,Saluda,1/28/20,0,0
45,Spartanburg,1/28/20,0,0
45,Sumter,1/28/20,0,0
45,Union,1/28/20,0,0
45,Williamsburg,1/28/20,0,0
45,York,1/28/20,0,0
45,Abbeville,1/29/20,0,0
45,Aiken,1/29/20,0,0
45,Allendale,1/29/20,0,0
45,Anderson,1/29/20,0,0
45,Bamberg,1/29/20,0,0
45,Barnwell,1/29/20,0,0
45,Beaufort,1/29/20,0,0
45,Berkeley,1/29/20,0,0
45,Calhoun,1/29/20,0,0
45,Charleston,1/29/20,0,0
45,Cherokee,1/29/20,0,0
45,Chester,1/29/20,0,0
45,Chesterfield,1/29/20,0,0
45,Clarendon,1/29/20,0,0
45,Colleton,1/29/20,0,0
45,Darlington,1/29/20,0,0
45,Dillon,1/29/20,0,0
45,Dorchester,1/29/20,0,0
45,Edgefield,1/29/20,0,0
45,Fairfield,1/29/20,0,0
45,Florence,1/29/20,0,0
45,Georgetown,1/29/20,0,0
45,Greenville,1/29/20,0,0
45,Greenwood,1/29/20,0,0
45,Hampton,1/29/20,0,0
45,Horry,1/29/20,0,0
45,Jasper,1/29/20,0,0
45,Kershaw,1/29/20,0,0
45,Lancaster,1/29/20,0,0
45,Laurens,1/29/20,0,0
45,Lee,1/29/20,0,0
45,Lexington,1/29/20,0,0
45,McCormick,1/29/20,0,0
45,Marion,1/29/20,0,0
45,Marlboro,1/29/20,0,0
45,Newberry,1/29/20,0,0
45,Oconee,1/29/20,0,0
45,Orangeburg,1/29/20,0,0
45,Pickens,1/29/20,0,0
45,Richland,1/29/20,0,0
45,Saluda,1/29/20,0,0
45,Spartanburg,1/29/20,0,0
45,Sumter,1/29/20,0,0
45,Union,1/29/20,0,0
45,Williamsburg,1/29/20,0,0
45,York,1/29/20,0,0
45,Abbeville,1/30/20,0,0
45,Aiken,1/30/20,0,0
45,Allendale,1/30/20,0,0
45,Anderson,1/30/20,0,0
45,Bamberg,1/30/20,0,0
45,Barnwell,1/30/20,0,0
45,Beaufort,1/30/20,0,0
45,Berkeley,1/30/20,0,0
45,Calhoun,1/30/20,0,0
45,Charleston,1/30/20,0,0
45,Cherokee,1/30/20,0,0
45,Chester,1/30/20,0,0
45,Chesterfield,1/30/20,0,0
45,Clarendon,1/30/20,0,0
45,Colleton,1/30/20,0,0
45,Darlington,1/30/20,0,0
45,Dillon,1/30/20,0,0
45,Dorchester,1/30/20,0,0
45,Edgefield,1/30/20,0,0
45,Fairfield,1/30/20,0,0
45,Florence,1/30/20,0,0
45,Georgetown,1/30/20,0,0
45,Greenville,1/30/20,0,0
45,Greenwood,1/30/20,0,0
45,Hampton,1/30/20,0,0
45,Horry,1/30/20,0,0
45,Jasper,1/30/20,0,0
45,Kershaw,1/30/20,0,0
45,Lancaster,1/30/20,0,0
45,Laurens,1/30/20,0,0
45,Lee,1/30/20,0,0
45,Lexington,1/30/20,0,0
45,McCormick,1/30/20,0,0
45,Marion,1/30/20,0,0
45,Marlboro,1/30/20,0,0
45,Newberry,1/30/20,0,0
45,Oconee,1/30/20,0,0
45,Orangeburg,1/30/20,0,0
45,Pickens,1/30/20,0,0
45,Richland,1/30/20,0,0
45,Saluda,1/30/20,0,0
45,Spartanburg,1/30/20,0,0
45,Sumter,1/30/20,0,0
45,Union,1/30/20,0,0
45,Williamsburg,1/30/20,0,0
45,York,1/30/20,0,0
